Tên thuốc,Hoạt chất,Số đăng ký,Danh mục,Nhà sản xuất,Đơn vị,Đường dùng,Quy cách đóng gói,Giá (VNĐ),Hướng dẫn sử dụng,Trạng thái
Paracetamol 500mg,Paracetamol (500mg),VD-12345-16,Giảm đau - Hạ sốt,Hasan Dermapharm,Viên,Uống,Hộp 10 vỉ x 10 viên,2000,"Uống 1-2 viên mỗi 4-6 giờ, không quá 8 viên/ngày",Hoạt động
Amoxicillin 500mg,Amoxicillin (500mg),VD-12346-16,Kháng sinh,DHG Pharma,Viên,Uống,Hộp 10 vỉ x 10 viên,5000,"Uống 1 viên x 3 lần/ngày sau ăn, dùng đủ liệu trình",Hoạt động
Vitamin C 1000mg,Acid Ascorbic (1000mg),VD-12347-16,Vitamin & Khoáng chất,Traphaco,Viên,Uống,Hộp 6 vỉ x 10 viên,8000,Uống 1 viên/ngày sau ăn,Hoạt động
Ibuprofen 400mg,Ibuprofen (400mg),VD-12348-16,Giảm đau - Hạ sốt,Imexpharm,Viên,Uống,Hộp 10 vỉ x 10 viên,3500,"Uống 1 viên mỗi 6-8 giờ, không quá 3 viên/ngày",Hoạt động
Cetirizine 10mg,Cetirizine dihydrochloride (10mg),VD-12349-16,Kháng histamin,Pymepharco,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Uống 1 viên/ngày trước khi ngủ,Hoạt động
Omeprazole 20mg,Omeprazole (20mg),VD-12350-16,Tiêu hóa,Hau Giang Pharma,Viên,Uống,Hộp 3 vỉ x 10 viên,4000,"Uống 1 viên/ngày trước bữa sáng 30 phút, nuốt nguyên viên",Hoạt động
Metformin 500mg,Metformin HCL (500mg),VD-12351-16,Tiểu đường,Boston Pharma,Viên,Uống,Hộp 10 vỉ x 10 viên,3000,Uống 1-2 viên x 2 lần/ngày trong bữa ăn,Hoạt động
Atorvastatin 10mg,Atorvastatin (10mg),VD-12352-16,Tim mạch,Abbott,Viên,Uống,Hộp 3 vỉ x 10 viên,12000,Uống 1 viên/ngày vào buổi tối,Hoạt động
Amlodipine 5mg,Amlodipine besilate (5mg),VD-12353-16,Tim mạch,Sanofi,Viên,Uống,Hộp 3 vỉ x 10 viên,8000,Uống 1 viên/ngày vào cùng giờ,Hoạt động
Azithromycin 250mg,Azithromycin (250mg),VD-12354-16,Kháng sinh,Domesco,Viên,Uống,Hộp 2 vỉ x 3 viên,15000,"Uống 2 viên ngày đầu, sau đó 1 viên/ngày x 4 ngày",Hoạt động
Cephalexin 500mg,Cefalexin (500mg),VD-12355-16,Kháng sinh,Mediplantex,Viên,Uống,Hộp 10 vỉ x 10 viên,7000,Uống 1 viên x 4 lần/ngày sau ăn,Hoạt động
Ciprofloxacin 500mg,Ciprofloxacin (500mg),VD-12356-16,Kháng sinh,Stada,Viên,Uống,Hộp 10 vỉ x 10 viên,9000,Uống 1 viên x 2 lần/ngày,Hoạt động
Dexamethasone 0.5mg,Dexamethasone (0.5mg),VD-12357-16,Corticoid,Mekophar,Viên,Uống,Hộp 10 vỉ x 10 viên,2000,Theo chỉ định bác sĩ,Hoạt động
Prednisone 5mg,Prednisone (5mg),VD-12358-16,Corticoid,Agimexpharm,Viên,Uống,Hộp 10 vỉ x 10 viên,1800,Theo chỉ định bác sĩ,Hoạt động
Loratadine 10mg,Loratadine (10mg),VD-12359-16,Kháng histamin,OPC Pharma,Viên,Uống,Hộp 6 vỉ x 10 viên,2200,Uống 1 viên/ngày,Hoạt động
Loperamide 2mg,Loperamide (2mg),VD-12360-16,Tiêu hóa,Janssen,Viên,Uống,Hộp 6 vỉ x 10 viên,3000,"Uống 2 viên ban đầu, sau đó 1 viên sau mỗi lần tiêu chảy",Hoạt động
Ranitidine 150mg,Ranitidine (150mg),VD-12361-16,Tiêu hóa,Pharmedic,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Uống 1 viên x 2 lần/ngày,Hoạt động
Simvastatin 20mg,Simvastatin (20mg),VD-12362-16,Tim mạch,Merck,Viên,Uống,Hộp 3 vỉ x 10 viên,8500,Uống 1 viên/ngày vào buổi tối,Hoạt động
Losartan 50mg,Losartan potassium (50mg),VD-12363-16,Tim mạch,MSD,Viên,Uống,Hộp 3 vỉ x 10 viên,10000,Uống 1 viên/ngày,Hoạt động
Bisoprolol 5mg,Bisoprolol fumarate (5mg),VD-12364-16,Tim mạch,Berlin Pharma,Viên,Uống,Hộp 3 vỉ x 10 viên,9000,Uống 1 viên/ngày vào buổi sáng,Hoạt động
Glimepiride 2mg,Glimepiride (2mg),VD-12365-16,Tiểu đường,Sanofi-Aventis,Viên,Uống,Hộp 3 vỉ x 10 viên,8000,Uống 1 viên/ngày trước bữa sáng,Hoạt động
Gliclazide 80mg,Gliclazide (80mg),VD-12366-16,Tiểu đường,Servier,Viên,Uống,Hộp 6 vỉ x 10 viên,7000,Uống 1-2 viên/ngày trong bữa ăn,Hoạt động
Aspirin 100mg,Acetylsalicylic acid (100mg),VD-12367-16,Tim mạch,Bayer,Viên,Uống,Hộp 10 vỉ x 10 viên,1500,Uống 1 viên/ngày sau ăn,Hoạt động
Clopidogrel 75mg,Clopidogrel (75mg),VD-12368-16,Tim mạch,Sanofi,Viên,Uống,Hộp 3 vỉ x 10 viên,18000,Uống 1 viên/ngày,Hoạt động
Levothyroxine 50mcg,Levothyroxine sodium (50mcg),VD-12369-16,Nội tiết,Merck,Viên,Uống,Hộp 10 vỉ x 10 viên,5000,Uống 1 viên/ngày vào buổi sáng,Hoạt động
Calcium + Vit D3,Calcium carbonate (600mg) + Vitamin D3 (400IU),VD-12370-16,Vitamin & Khoáng chất,Traphaco,Viên,Uống,Hộp 6 vỉ x 10 viên,6000,Uống 1-2 viên/ngày sau ăn,Hoạt động
Diazepam 5mg,Diazepam (5mg),VD-12371-16,Thần kinh,Roche,Viên,Uống,Hộp 6 vỉ x 10 viên,2000,Theo chỉ định bác sĩ,Hoạt động
Alprazolam 0.25mg,Alprazolam (0.25mg),VD-12372-16,Thần kinh,Pfizer,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Theo chỉ định bác sĩ,Hoạt động
Clonazepam 0.5mg,Clonazepam (0.5mg),VD-12373-16,Thần kinh,Roche,Viên,Uống,Hộp 6 vỉ x 10 viên,3000,Theo chỉ định bác sĩ,Hoạt động
Tramadol 50mg,Tramadol HCL (50mg),VD-12374-16,Giảm đau,Stada,Viên,Uống,Hộp 10 vỉ x 10 viên,5000,Theo chỉ định bác sĩ,Hoạt động
Morphine 10mg,Morphine sulfate (10mg),VD-12375-16,Giảm đau,GSK,Viên,Uống,Hộp 5 vỉ x 10 viên,12000,Theo chỉ định bác sĩ,Hoạt động
Codeine 30mg,Codeine phosphate (30mg),VD-12376-16,Giảm đau,Abbott,Viên,Uống,Hộp 6 vỉ x 10 viên,6000,Theo chỉ định bác sĩ,Hoạt động
Fluoxetine 20mg,Fluoxetine HCL (20mg),VD-12377-16,Thần kinh,Lilly,Viên,Uống,Hộp 3 vỉ x 10 viên,15000,Uống 1 viên/ngày vào buổi sáng,Hoạt động
Sertraline 50mg,Sertraline HCL (50mg),VD-12378-16,Thần kinh,Pfizer,Viên,Uống,Hộp 3 vỉ x 10 viên,18000,Uống 1 viên/ngày,Hoạt động
Escitalopram 10mg,Escitalopram (10mg),VD-12379-16,Thần kinh,Lundbeck,Viên,Uống,Hộp 3 vỉ x 10 viên,20000,Uống 1 viên/ngày,Hoạt động
Domperidone 10mg,Domperidone (10mg),VD-12380-16,Tiêu hóa,Janssen,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Uống 1 viên x 3 lần/ngày trước ăn,Hoạt động
Metoclopramide 10mg,Metoclopramide (10mg),VD-12381-16,Tiêu hóa,Sanofi,Viên,Uống,Hộp 10 vỉ x 10 viên,1800,Uống 1 viên x 3 lần/ngày trước ăn,Hoạt động
Lansoprazole 30mg,Lansoprazole (30mg),VD-12382-16,Tiêu hóa,Takeda,Viên,Uống,Hộp 3 vỉ x 10 viên,8000,Uống 1 viên/ngày trước bữa sáng,Hoạt động
Esomeprazole 40mg,Esomeprazole (40mg),VD-12383-16,Tiêu hóa,AstraZeneca,Viên,Uống,Hộp 3 vỉ x 10 viên,12000,Uống 1 viên/ngày trước bữa sáng,Hoạt động
Pantoprazole 40mg,Pantoprazole (40mg),VD-12384-16,Tiêu hóa,Nycomed,Viên,Uống,Hộp 3 vỉ x 10 viên,10000,Uống 1 viên/ngày trước bữa sáng,Hoạt động
Chlorpheniramine 4mg,Chlorpheniramine maleate (4mg),VD-12385-16,Kháng histamin,Pharmacity,Viên,Uống,Hộp 10 vỉ x 10 viên,1500,Uống 1 viên x 3-4 lần/ngày,Hoạt động
Fexofenadine 120mg,Fexofenadine HCL (120mg),VD-12386-16,Kháng histamin,Sanofi,Viên,Uống,Hộp 3 vỉ x 10 viên,8000,Uống 1 viên/ngày,Hoạt động
Salbutamol 2mg,Salbutamol sulfate (2mg),VD-12387-16,Hô hấp,GSK,Viên,Uống,Hộp 6 vỉ x 10 viên,3000,Uống 1 viên x 3-4 lần/ngày,Hoạt động
Theophylline 200mg,Theophylline (200mg),VD-12388-16,Hô hấp,Sanofi,Viên,Uống,Hộp 6 vỉ x 10 viên,4000,Uống 1 viên x 2 lần/ngày sau ăn,Hoạt động
Bromhexine 8mg,Bromhexine HCL (8mg),VD-12389-16,Hô hấp,Boehringer,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Uống 1 viên x 3 lần/ngày,Hoạt động
Ambroxol 30mg,Ambroxol HCL (30mg),VD-12390-16,Hô hấp,Sanofi,Viên,Uống,Hộp 6 vỉ x 10 viên,3000,Uống 1 viên x 3 lần/ngày sau ăn,Hoạt động
Dextromethorphan 15mg,Dextromethorphan HBr (15mg),VD-12391-16,Hô hấp,Abbott,Viên,Uống,Hộp 6 vỉ x 10 viên,3500,Uống 1 viên x 3-4 lần/ngày,Hoạt động
Allopurinol 300mg,Allopurinol (300mg),VD-12392-16,Điều trị gút,GSK,Viên,Uống,Hộp 10 vỉ x 10 viên,5000,Uống 1 viên/ngày sau ăn,Hoạt động
Colchicine 0.5mg,Colchicine (0.5mg),VD-12393-16,Điều trị gút,Opsonin,Viên,Uống,Hộp 6 vỉ x 10 viên,6000,Theo chỉ định bác sĩ,Hoạt động
Diclofenac 50mg,Diclofenac sodium (50mg),VD-12394-16,Giảm đau - Hạ sốt,Novartis,Viên,Uống,Hộp 10 vỉ x 10 viên,3000,Uống 1 viên x 2-3 lần/ngày sau ăn,Hoạt động